ID,Nome,Grupo,Ácidos gordos saturados,Ácidos gordos monoinsaturados,Ácidos gordos polinsaturados,Ácido linoleico,Hidratos de carbono,Sal,Fibra alimentar,Proteína,Álcool,Água,Ácidos orgânicos,Colesterol,Vitamina A total,Caroteno,Vitamina D,a-tocoferol,Tiamina,Riboflavina,Equivalentes de niacina,Niacina,Vitamina B6,Vitamina B12,Vitamina C,Folatos,Cinza,Sódio,Potássio,Cálcio,Fósforo,Magnésio,Ferro,Zinco
1,Leite de cabra cru,Leites e Produtos Lácteos,2.6 g,1.1 g,0.1 g,0.1 g,4.6 g,100 mg,0 g,3.8 g,0 g,86.9 g,0 g,11 mg,53 µg,0 µg,0.0 µg,0.03 mg,0.05 mg,0.1 mg,1 mg,0.3 mg,0.04 mg,0.08 µg,3 mg,1 µg,0.85 g,40 mg,180 mg,150 mg,120 mg,20 mg,0.2 mg,0.3 mg
2,Leite de ovelha cru,Leites e Produtos Lácteos,3.3 g,1.5 g,0.2 g,0.2 g,4.2 g,92 mg,0 g,5.1 g,0 g,86.9 g,0 g,55 mg,50 µg,0 µg,0.2 µg,0.11 mg,0.06 mg,0.15 mg,1.1 mg,0.2 mg,0.07 mg,0.15 µg,5 mg,5 µg,0.93 g,37 mg,120 mg,190 mg,140 mg,15 mg,0.2 mg,0.7 mg
3,Leite de vaca esterilizado gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.5 g,110 mg,0 g,3 g,0 g,88.3 g,0 g,13 mg,53 µg,21 µg,0.0 µg,0.09 mg,0.04 mg,0.14 mg,1.6 mg,0.9 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,43 mg,150 mg,120 mg,81 mg,10 mg,0.1 mg,0.4 mg
4,Leite de vaca esterilizado magro,Leites e Produtos Lácteos,0.1 g,0 g,0 g,0 g,4.7 g,100 mg,0 g,3.2 g,0 g,91.3 g,0 g,1 mg,0 µg,7 µg,0 µg,0 mg,0.02 mg,0.05 mg,0.9 mg,0.1 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,41 mg,170 mg,120 mg,100 mg,10 mg,0.2 mg,0.8 mg
5,Leite de vaca esterilizado meio gordo,Leites e Produtos Lácteos,0.8 g,0.3 g,0 g,0 g,4.7 g,100 mg,0 g,3.2 g,0 g,89.9 g,0 g,8 mg,17 µg,8 µg,0.0 µg,0.03 mg,0.02 mg,0.11 mg,1 mg,0.2 mg,0.04 mg,0.1 µg,0 mg,0.0 µg,0.72 g,41 mg,160 mg,120 mg,92 mg,10 mg,0.2 mg,0.5 mg
6,Leite de vaca esterilizado achocolatado meio gordo,Leites e Produtos Lácteos,0.6 g,0.3 g,0 g,0 g,9.9 g,140 mg,0 g,3.3 g,0 g,85 g,0 g,6 mg,12 µg,5 µg,0.0 µg,0.07 mg,0.01 mg,0.16 mg,1.9 mg,1.1 mg,0.03 mg,0.08 µg,0 mg,5 µg,0.72 g,55 mg,170 mg,110 mg,92 mg,14 mg,0.3 mg,1 mg
7,Leite de vaca pasteurizado gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.7 g,110 mg,0 g,3 g,0 g,88 g,0 g,13 mg,56 µg,21 µg,0.0 µg,0.09 mg,0.04 mg,0.14 mg,0.9 mg,0.2 mg,0.06 mg,0.39 µg,0 mg,6 µg,0.72 g,43 mg,150 mg,110 mg,88 mg,11 mg,0.1 mg,0.4 mg
8,Leite de vaca pasteurizado gordo especial,Leites e Produtos Lácteos,1.9 g,0.8 g,0.1 g,0.1 g,4.8 g,92 mg,0 g,3.1 g,0 g,88.1 g,0 g,13 mg,38 µg,140 µg,0.0 µg,0.09 mg,0.03 mg,0.16 mg,0.9 mg,0.2 mg,0.06 mg,0.39 µg,1 mg,6 µg,0.72 g,37 mg,150 mg,110 mg,91 mg,10 mg,0.2 mg,0.5 mg
9,Leite de vaca UHT gordo,Leites e Produtos Lácteos,2 g,0.8 g,0.1 g,0.1 g,4.7 g,110 mg,0 g,3 g,0 g,88.1 g,0 g,13 mg,59 µg,29 µg,0.0 µg,0.07 mg,0.04 mg,0.14 mg,0.9 mg,0.2 mg,0.04 mg,0.18 µg,0 mg,1 µg,0.75 g,43 mg,160 mg,110 mg,77 mg,9 mg,0.1 mg,0.4 mg
10,Leite de vaca UHT magro,Leites e Produtos Lácteos,0.1 g,0.1 g,0 g,0 g,4.9 g,100 mg,0 g,3.4 g,0 g,90.5 g,0 g,1 mg,0 µg,0 µg,0 µg,0 mg,0.05 mg,0.18 mg,0.8 mg,0.1 mg,0.05 mg,0.11 µg,0 mg,1 µg,0.77 g,41 mg,160 mg,110 mg,82 mg,10 mg,0.1 mg,0.4 mg
11,Leite de vaca UHT meio gordo,Leites e Produtos Lácteos,0.9 g,0.4 g,0 g,0 g,4.9 g,100 mg,0 g,3.3 g,0 g,89.1 g,0 g,8 mg,22 µg,12 µg,0.0 µg,0.03 mg,0.04 mg,0.18 mg,0.9 mg,0.2 mg,0.05 mg,0.12 µg,0 mg,1 µg,0.76 g,40 mg,160 mg,110 mg,81 mg,9 mg,0.1 mg,0.5 mg
12,Leite de vaca UHT aromatizado meio gordo,Leites e Produtos Lácteos,1 g,0.4 g,0.1 g,0.1 g,7.9 g,100 mg,0 g,3 g,0 g,86.6 g,0 g,8 mg,31 µg,15 µg,0.0 µg,0.03 mg,0.03 mg,0.16 mg,0.9 mg,0.2 mg,0.05 mg,0.19 µg,0 mg,2 µg,0.72 g,42 mg,150 mg,110 mg,86 mg,9 mg,0.4 mg,0.5 mg
13,Leite condensado de vaca,Leites e Produtos Lácteos,5.4 g,2 g,0.3 g,0.2 g,56.4 g,350 mg,0 g,7.8 g,0 g,25 g,0 g,34 mg,161 µg,74 µg,0.0 µg,0.2 mg,0.05 mg,0.4 mg,3 mg,1.2 mg,0.07 mg,0.5 µg,0 mg,14 µg,1.80 g,140 mg,390 mg,340 mg,230 mg,30 mg,0.4 mg,1.2 mg
14,Leite de vaca em pó gordo,Leites e Produtos Lácteos,14.5 g,5.9 g,0.7 g,0.7 g,38.7 g,850 mg,0 g,26.8 g,0 g,2.6 g,0 g,69 mg,296 µg,158 µg,0.2 µg,0.61 mg,0.22 mg,1.2 mg,7.6 mg,1.3 mg,0.48 mg,2 µg,8 mg,46 µg,6.00 g,340 mg,1220 mg,920 mg,750 mg,100 mg,0.6 mg,3.2 mg
15,Leite de vaca em pó magro,Leites e Produtos Lácteos,0.5 g,0.2 g,0 g,0 g,52.7 g,1300 mg,0 g,35.1 g,0 g,3.4 g,0 g,23 mg,0 µg,0 µg,0 µg,0.01 mg,0.32 mg,1.8 mg,10 mg,2.1 mg,0.58 mg,3 µg,9 mg,50 µg,8.05 g,520 mg,1690 mg,1270 mg,1030 mg,140 mg,0.6 mg,4.1 mg
16,Leite de vaca em pó meio gordo,Leites e Produtos Lácteos,7.6 g,3.1 g,0.4 g,0.4 g,45.6 g,1100 mg,0 g,30.7 g,0 g,3.2 g,0 g,41 mg,212 µg,113 µg,0.1 µg,0.3 mg,0.26 mg,1.7 mg,9.2 mg,2 mg,0.51 mg,2.5 µg,6 mg,43 µg,7.05 g,440 mg,1460 mg,1150 mg,880 mg,120 mg,0.4 mg,3.7 mg
17,Leite evaporado de vaca,Leites e Produtos Lácteos,4.4 g,1.8 g,0.2 g,0.2 g,9.8 g,350 mg,0 g,6.6 g,0 g,74 g,0 g,28 mg,129 µg,106 µg,0.0 µg,0.14 mg,0.06 mg,0.31 mg,2.2 mg,0.6 mg,0.06 mg,0.08 µg,0 mg,9 µg,1.80 g,140 mg,320 mg,260 mg,230 mg,22 mg,0.1 mg,0.8 mg
